,label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,time
388,5,298.0,503.76174496644296,564.0201342281879,492,556,516,575,43
389,6,169.0,530.7633136094674,715.2426035502958,519,712,545,721,43
390,7,500.0,531.47,418.848,520,408,545,433,43
391,8,188.0,532.2659574468086,694.2393617021277,526,687,541,704,43
392,9,143.0,534.1818181818181,561.3146853146853,528,555,544,567,43
393,10,245.0,546.8408163265306,208.24897959183673,538,200,557,219,43
394,1,210.0,439.93333333333334,686.3190476190476,431,680,449,695,44
395,2,535.0,476.8841121495327,758.2560747663551,466,743,494,778,44
396,3,759.0,491.2292490118577,695.7971014492754,478,676,504,715,44
397,4,292.0,492.72945205479454,767.9349315068494,484,757,503,780,44
398,5,145.0,511.1448275862069,747.9586206896552,502,743,520,754,44
399,6,84.0,519.797619047619,381.07142857142856,515,375,526,388,44
400,7,297.0,527.8080808080808,30.033670033670035,518,19,538,43,44
401,1,346.0,25.387283236994218,373.4104046242775,14,364,39,384,45
402,2,176.0,279.0681818181818,453.0568181818182,272,446,287,463,45
403,3,470.0,413.1914893617021,756.2744680851064,395,746,433,768,45
404,4,225.0,523.0888888888888,507.26222222222225,513,499,535,518,45
405,5,180.0,522.05,385.9277777777778,517,374,528,399,45
406,6,442.0,568.3122171945702,362.6651583710407,554,349,580,376,45
